presbytery,for,against,item
Susquehanna Valley,46.0,11.0,Item 5
Tennessee Valley,1.0,0.0,Item 5
Tidewater,43.0,0.0,Item 5
Warrior,29.0,1.0,Item 5
West Hudson,23.0,1.0,Item 5
Westminster,27.0,1.0,Item 5
Wisconsin,18.0,8.0,Item 5
Arizona,31.0,0.0,Item 6
Ascension,35.0,0.0,Item 6
Blue Ridge,1.0,0.0,Item 6
Calvary,93.0,0.0,Item 6
Canada West,26.0,0.0,Item 6
Catawba Valley,38.0,0.0,Item 6
Central Carolina,48.0,3.0,Item 6
Central Florida,61.0,0.0,Item 6
Central Georgia,38.0,0.0,Item 6
Central Indiana,,,Item 6
Chesapeake,15.0,41.0,Item 6
Chicago Metro,43.0,0.0,Item 6
Columbus Metro,,,Item 6
Covenant,5.0,74.0,Item 6
Eastern Canada,,,Item 6
Eastern Carolina,52.0,0.0,Item 6
Eastern Pennsylvania,27.0,0.0,Item 6
Evangel,,,Item 6
Fellowship,38.0,0.0,Item 6
Georgia Foothills,1.0,0.0,Item 6
Grace,37.0,0.0,Item 6
Great Lakes,46.0,1.0,Item 6
Gulf Coast,37.0,0.0,Item 6
Gulfstream,35.0,0.0,Item 6
Heartland,22.0,2.0,Item 6
Heritage,35.0,0.0,Item 6
Highlands,36.0,17.0,Item 6
Hills and Plains,,,Item 6
Houston Metro,50.0,0.0,Item 6
Illiana,16.0,0.0,Item 6
Iowa,,,Item 6
James River,77.0,0.0,Item 6
Korean Capital,,,Item 6
Korean Central,,,Item 6
Korean Eastern,,,Item 6
Korean Northeastern,,,Item 6
Korean Northwest,,,Item 6
Korean Southeastern,,,Item 6
Korean Southern,,,Item 6
Korean Southwest,,,Item 6
Korean Southwest OC,,,Item 6
Lowcountry Presbytery,34.0,0.0,Item 6
Metro Atlanta,1.0,0.0,Item 6
Metropolitan New York,32.0,0.0,Item 6
Mississippi Valley,85.0,0.0,Item 6
Missouri,,,Item 6
Nashville,,,Item 6
New Jersey,20.0,0.0,Item 6
New River,1.0,0.0,Item 6
New York State,28.0,0.0,Item 6
North Florida,23.0,0.0,Item 6
North Texas,,,Item 6
Northern California,34.0,0.0,Item 6
Northern Illinois,30.0,0.0,Item 6
Northern New England,,,Item 6
Northwest Georgia,33.0,6.0,Item 6
Ohio,16.0,0.0,Item 6
Ohio Valley,39.0,0.0,Item 6
Pacific,1.0,0.0,Item 6
Pacific Northwest,40.0,4.0,Item 6
Palmetto,70.0,0.0,Item 6
Pee Dee,37.0,0.0,Item 6
Philadelphia,,,Item 6
Philadelphia Metro West,,,Item 6
Piedmont Triad,39.0,0.0,Item 6
Pittsburgh,40.0,3.0,Item 6
Platte Valley,22.0,0.0,Item 6
Potomac,62.0,1.0,Item 6
Providence,51.0,0.0,Item 6
Rio Grande,1.0,0.0,Item 6
Rocky Mountain,65.0,0.0,Item 6
Savannah River,37.0,1.0,Item 6
Siouxlands,18.0,8.0,Item 6
South Coast,50.0,3.0,Item 6
South Florida,,,Item 6
South Texas,50.0,1.0,Item 6
Southeast Alabama,42.0,0.0,Item 6
Southern Louisiana,25.0,0.0,Item 6
Southern New England,65.0,0.0,Item 6
Southwest Florida,64.0,0.0,Item 6
Suncoast Florida,,,Item 6
Susquehanna Valley,24.0,19.0,Item 6
Tennessee Valley,1.0,0.0,Item 6
Tidewater,43.0,0.0,Item 6
Warrior,1.0,0.0,Item 6
West Hudson,1.0,0.0,Item 6
Westminster,30.0,0.0,Item 6
Wisconsin,31.0,1.0,Item 6
Arizona,34.0,1.0,Item 7
Ascension,22.0,5.0,Item 7
Blue Ridge,0.0,1.0,Item 7
Calvary,79.0,10.0,Item 7
Canada West,25.0,0.0,Item 7
Catawba Valley,35.0,3.0,Item 7
Central Carolina,49.0,2.0,Item 7
Central Florida,61.0,0.0,Item 7
Central Georgia,2.0,36.0,Item 7
Central Indiana,,,Item 7
Chesapeake,0.0,70.0,Item 7
Chicago Metro,43.0,1.0,Item 7
Columbus Metro,,,Item 7
Covenant,15.0,62.0,Item 7
Eastern Canada,,,Item 7
Eastern Carolina,5.0,36.0,Item 7
Eastern Pennsylvania,17.0,6.0,Item 7
Evangel,,,Item 7
Fellowship,16.0,17.0,Item 7
Georgia Foothills,1.0,0.0,Item 7
Grace,13.0,27.0,Item 7
